course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits
COP2220,Spring 2014,10015,Valev,37,20,54.05,10.00,15.00,20.00,15.00,35.00,2.47,29.27,36.59,9.76,2.44,12.2,2.76,1505,75,TR,15,1205,3
COP2220,Fall 2013,83196,Valev,39,18,46.15,16.67,11.11,16.67,27.78,27.78,2.61,19.51,31.71,14.63,21.95,7.32,2.36,1340,75,TR,15,1205,3
COP2220,Fall 2013,82079,Valev,33,19,57.58,21.05,26.32,10.53,10.53,31.58,2.95,12.5,30,20,7.5,12.5,2.27,1215,75,TR,15,1205,3
COP2220,Fall 2013,80756,Valev,37,20,54.05,0.00,0.00,35.00,35.00,30.00,2.05,14.63,46.34,21.95,2.44,4.88,2.70,1800,75,TR,15,1205,3
COP2220,Fall 2013,80757,Martin,33,13,39.39,46.15,23.08,7.69,23.08,0.00,3.92,4.76,11.9,40.48,0,21.43,1.73,1050,75,TR,15,1205,3
COP2220,Fall 2013,80755,Littleton,39,22,56.41,27.27,54.55,13.64,4.55,0.00,4.05,47.62,28.57,16.67,0,0,3.35,1630,75,TR,15,1205,3
COP2220,Summer 2013,51091,Leas,41,21,51.22,61.90,14.29,4.76,4.76,4.76,4.37,24.39,12.2,12.2,29.27,14.63,2.03,1430,100,TRF,15,1205,3
COP2220,Spring 2013,10016,Littleton,42,24,57.14,54.17,25.00,12.50,0.00,0.00,4.45,61.9,11.9,7.14,2.38,2.38,3.51,1300,50,MWF,15,1205,3
COP2220,Spring 2013,10018,Leas,37,14,37.84,50.00,28.57,14.29,7.14,0.00,4.21,10.81,13.51,27.03,16.22,8.11,2.05,1800,75,TR,15,1206,3
COP2220,Spring 2013,10017,Asaithambi,42,20,47.62,50.00,10.00,20.00,0.00,5.00,4.18,19.05,21.43,16.67,9.52,21.43,2.08,1215,75,TR,15,1205,3
COP2220,Fall 2012,80843,Lynch,31,20,64.52,45.00,40.00,10.00,0.00,0.00,4.37,32.26,25.81,19.35,9.68,0,2.93,1800,75,MW,15,1202,3
COP2220,Fall 2012,80844,Martin,41,11,26.83,54.55,18.18,9.09,9.09,0.00,4.30,7.32,29.27,31.71,4.88,4.88,2.38,1050,75,TR,15,1205,3
COP2220,Fall 2012,82749,Asaithambi,42,19,45.24,68.42,21.05,10.53,0.00,0.00,4.58,26.189999,16.67,11.9,9.52,7.14,2.62,1215,75,TR,15,1205,3
COP2220,Fall 2012,80842,Chuan,34,25,73.53,72.00,20.00,8.00,0.00,0.00,4.64,38.24,38.23,2.94,0,8.82,3.05,1500,75,MW,15,1202,3
COP2220,Summer 2012,51206,Elfayoumy,38,22,57.89,31.82,45.45,13.64,0.00,0.00,4.20,18.42,39.47,23.68,5.26,0,2.82,1620,100,MTWR,15,1205,3
COP2220,Summer 2012,52342,Littleton,35,25,71.43,68.00,24.00,4.00,4.00,0.00,4.56,91.43,0,0,0,2.86,3.88,1430,100,TRF,15,1205,3
