course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits,title
CIS3526,Summer 2022,54049,Arafa,46,10,21.74,20,40,30,0,0,3.89,58.69,34.79,4.34,2.17,0,3.45,,,,Online,,3,IT Project Management
CIS3526,Spring 2022,11722,Arafa,46,17,36.96,23.53,35.29,17.65,17.65,0,3.69,52.17,39.14,6.52,0,2.17,3.35,,,,Online,,3,IT Project Management
CIS3526,Fall 2021,86280,Arafa,97,47,48.45,14.89,12.77,21.28,21.28,29.79,2.62,64,23,7,1,1,3.51,,,,Online,,3,IT Project Management
CIS3526,Summer 2021,52551,Arafa,27,9,33.33,55.56,11.11,22.22,0,11.11,4,51.84,40.73,7.41,0,0,3.41,1430,100,MTWR,Remote Instruction,,3,IT Project Management
CIS3526,Spring 2021,11730,Johnson,43,17,39.53,35.29,47.06,11.76,5.88,0,4.12,27.27,50,15.91,0,4.55,2.93,1800,75,MW,Remote Instruction,,3,IT Project Management
CIS3526,Fall 2020,82468,Johnson,60,23,38.33,4.35,39.13,30.43,4.35,17.39,3.09,33.86,45.16,14.51,1.61,1.61,3.12,1215,75,TR,Remote Instruction,,3,IT Project Management
CIS3526,Fall 2019,83256,Daniels,52,22,42.31,72.73,22.73,4.55,0,0,4.68,32.69,34.61,25,1.92,3.85,2.93,1215,75,TR,4,1706,3,CIS 3526 IT Project Management
CIS3526,Summer 2019,51322,Daniels,31,17,54.84,76.47,23.53,0,0,0,4.76,48.39,29.03,16.13,6.45,0,3.16,1620,100,TR,4,1703,3,IT Project Management
CIS3526,Spring 2019,18228,Daniels,28,13,46.43,53.85,23.08,7.69,0,7.69,4.25,27.59,51.72,13.79,0,3.45,3.06,1215,75,TR,4,1702,3,IT Project Management
